ingredient,unit,base_cost_per_unit_usd,supplier,lead_time_days
00_flour,kg,0.85,Molino,2
ap_flour,kg,0.8,Molino,2
tomato_sauce,kg,3,FarmCo,3
roasted_tomato,kg,3.5,FarmCo,3
mozzarella_fior_di_latte,kg,6.5,DairyInc,2
fontina,kg,7,DairyInc,2
burrata,kg,9,DairyInc,3
pesto,kg,12,HerbHouse,2
pancetta,kg,11,Salumi,5
salami,kg,12,Salumi,5
sausage,kg,9,Salumi,4
porchetta,kg,10,Salumi,5
mushroom_mix,kg,8,WildMush,4
cremini,kg,6.5,WildMush,4
truffle_oil,l,18,OilWorks,6
kalamata_olives,kg,8,OliveCo,4
black_olives,kg,6.5,OliveCo,4
basil,g,0.02,HerbHouse,2
arugula,kg,7,GreensFarm,2
spinach,kg,5.5,GreensFarm,2
onion_jam,kg,4,PantryPro,3
gorgonzola,kg,10,DairyInc,3
goat_cheese,kg,10,DairyInc,3
goat_cheese_crumbles,kg,10,DairyInc,3
parmesan,kg,12,DairyInc,3
tagliatelle,kg,3,HouseMade,2
radiatore,kg,3,HouseMade,2
conchiglie,kg,3,HouseMade,2
campanelle,kg,3,HouseMade,2
egg_yolk,kg,4.5,PantryPro,3
cream,l,1.6,DairyInc,2
garlic,kg,4,PantryPro,2
sun_dried_tomato,kg,7.5,PantryPro,5
walnut,kg,9.5,NutHouse,7
strawberry,kg,4.2,FarmCo,3
lemon,kg,2.5,FarmCo,3
olive_oil,l,6.5,OilWorks,4
neutral_oil,l,4,OilWorks,4
prosciutto_crudo,kg,14,Salumi,6
ragu_meat_sauce,kg,7.5,Kitchen,3
